nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
SEN,MF,26,1989,33,2681,81,78.4,29.8,32,,24,1,,1,1.55,42,31,11,0.37,-0.48,,,,,
IRL,MF,25,1990,12,613,51,17.9,6.8,7,,2,5,,2,1.58,13,10,3,0.44,-0.04,,,,,
ENG,MF,19,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP,GK,26,1990,20,1737,87,50.8,19.3,19,,19,1,,18,2.0,43,20,23,1.19,1.46,,,,,
ENG,"DF,FW",19,1997,1,13,13,0.4,0.1,0,,0,1,,7,0.0,0,0,0,0.0,-0.48,,,,,
BEL,"FW,MF",28,1987,35,2074,59,60.6,23.0,23,,5,12,,1,1.63,43,26,17,0.74,0.67,,,,,
ENG,DF,31,1984,32,2819,88,82.4,31.3,32,,29,0,,0,1.75,55,34,21,0.67,1.12,,,,,
NED,GK,33,1982,19,1683,89,49.2,18.7,19,,18,0,,13,1.11,19,24,-5,-0.27,-1.46,,,,,
ENG,DF,19,1996,18,1372,76,40.1,15.2,16,,13,2,,20,1.78,26,18,8,0.52,0.09,,,,,
POL,GK,19,1996,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG,DF,21,1994,3,180,60,5.3,2.0,2,,1,1,,6,1.33,5,6,-1,-0.5,-1.03,,,,,
FRA,MF,26,1989,14,1059,76,31.0,11.8,12,,10,2,,0,2.14,27,13,14,1.19,1.04,,,,,
BIH,"DF,MF",23,1992,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG,"DF,MF",33,1982,27,2249,83,65.8,25.0,25,,22,2,,10,1.59,35,32,3,0.12,-1.03,,,,,
ARG,DF,25,1991,23,1543,67,45.1,17.1,16,,16,7,,6,1.87,33,19,14,0.82,0.62,,,,,
BEL,FW,23,1993,37,3266,88,95.5,36.3,36,,34,1,,0,1.62,61,42,19,0.52,1.11,,,,,
