nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
BEL,FW,25,1990,34.8,15,105,40,38.1,3.02,1.15,0.12,0.33,,,2,4,,,,,
ENG,"FW,MF",23,1993,4.6,2,10,5,50.0,2.18,1.09,0.2,0.4,,,0,0,,,,,
IRL,DF,35,1981,22.4,0,5,1,20.0,0.22,0.04,0.0,0.0,,,0,0,,,,,
ENG,FW,28,1987,1.8,1,4,1,25.0,2.18,0.55,0.25,1.0,,,0,0,,,,,
SCO,MF,28,1987,22.2,5,23,6,26.1,1.04,0.27,0.22,0.83,,,0,0,,,,,
ENG,"DF,MF",27,1989,21.9,3,15,4,26.7,0.68,0.18,0.2,0.75,,,0,0,,,,,
ENG,MF,30,1986,34.3,0,45,10,22.2,1.31,0.29,0.0,0.0,,,0,0,,,,,
GHA,"DF,FW",23,1992,11.1,0,3,0,0.0,0.27,0.0,0.0,,,,0,0,,,,,
WAL,MF,29,1987,12.9,1,3,1,33.3,0.23,0.08,0.33,1.0,,,0,0,,,,,
ENG,"DF,MF",26,1989,38.0,0,15,3,20.0,0.4,0.08,0.0,0.0,,,0,0,,,,,
BEL,FW,21,1995,0.1,0,1,0,0.0,12.86,0.0,0.0,,,,0,0,,,,,
ENG,MF,24,1991,0.6,0,0,0,,0.0,0.0,,,,,0,0,,,,,
KOR,"FW,MF",28,1988,5.2,0,4,2,50.0,0.76,0.38,0.0,0.0,,,0,0,,,,,
FRA,FW,29,1987,1.5,0,6,3,50.0,4.03,2.01,0.0,0.0,,,0,0,,,,,
SRB,MF,25,1991,13.6,2,14,4,28.6,1.03,0.29,0.0,0.0,,,2,2,,,,,
FRA,DF,26,1990,7.6,0,2,0,0.0,0.26,0.0,0.0,,,,0,0,,,,,
ENG,"DF,MF",26,1990,23.6,0,3,0,0.0,0.13,0.0,0.0,,,,0,0,,,,,
FRA,MF,32,1984,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,,,0,0,,,,,
AUS,MF,31,1984,1.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
SEN,DF,26,1990,3.0,0,2,0,0.0,0.67,0.0,0.0,,,,0,0,,,,,
NED,DF,25,1990,7.9,2,10,3,30.0,1.26,0.38,0.2,0.67,,,0,0,,,,,
ENG,DF,29,1987,19.4,3,21,10,47.6,1.08,0.52,0.14,0.3,,,0,0,,,,,
